ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1685,California,"San Joaquin",Acampo,38.200413,-121.218576
1688,California,Modoc,Adin,41.21751,-120.943193
1691,California,Madera,Ahwahnee,37.407631,-119.723251
1692,California,Alameda,Alameda,37.764783,-122.260516
1693,California,"Contra Costa",Alamo,37.853695,-122.022868
1694,California,Alameda,Albany,37.890045,-122.295394
1695,California,Mendocino,Albion,39.215934,-123.721366
1696,California,Humboldt,Alderpoint,40.176389,-123.610556
1699,California,Sierra,Alleghany,39.512698,-120.727176
1702,California,Placer,Alta,39.228032,-120.773165
1704,California,Calaveras,Altaville,38.076944,-120.552222
1705,California,Modoc,Alturas,41.476742,-120.545584
1706,California,"Santa Clara",Alviso,37.427659,-121.968597
1707,California,Amador,"Amador City",38.419444,-120.823056
1709,California,Napa,"American Canyon",38.175,-122.259722
1711,California,Shasta,Anderson,40.457432,-122.328218
1712,California,Calaveras,"Angels Camp",38.064011,-120.55437
1714,California,Napa,Angwin,38.576906,-122.447732
1715,California,Sonoma,Annapolis,38.714485,-123.314214
1716,California,Sacramento,Antelope,38.708333,-121.328889
1717,California,"Contra Costa",Antioch,37.993917,-121.808906
1720,California,Placer,Applegate,38.995487,-120.990511
1721,California,"Santa Cruz",Aptos,36.977222,-121.898333
1722,California,Colusa,Arbuckle,39.013787,-122.027405
1724,California,Humboldt,Arcata,40.866667,-124.081667
1725,California,Kings,Armona,36.309459,-119.705279
1726,California,Calaveras,Arnold,38.24175,-120.342231
1727,California,Monterey,Aromas,36.878522,-121.639781
1730,California,Glenn,Artois,39.619722,-122.192778
1733,California,"San Mateo",Atherton,37.456255,-122.200198
1734,California,Merced,Atwater,37.353154,-120.600837
1736,California,Fresno,Auberry,37.072635,-119.457202
1737,California,Placer,Auburn,38.9828,-121.0938
1739,California,Kings,Avenal,35.987667,-120.122716
1740,California,Calaveras,Avery,38.204444,-120.368889
1747,California,Merced,Ballico,37.452455,-120.700152
1748,California,Butte,Bangor,39.424862,-121.350499
1752,California,Madera,"Bass Lake",37.324359,-119.556839
1753,California,Humboldt,Bayside,40.822381,-124.027305
1754,California,Yuba,"Beale Afb",39.145833,-121.590278
1756,California,Plumas,Beckwourth,39.820278,-120.377778
1757,California,Plumas,Belden,39.921746,-121.325924
1760,California,Shasta,"Bella Vista",40.740945,-122.07245
1762,California,"San Mateo",Belmont,37.517433,-122.292671
1763,California,Marin,"Belvedere Tiburon",37.889885,-122.472627
1764,California,"Santa Cruz","Ben Lomond",37.086183,-122.083869
1765,California,Solano,Benicia,38.068459,-122.161392
1766,California,Mono,Benton,37.798099,-118.498526
1767,California,Alameda,Berkeley,37.8691,-122.2696
1768,California,Butte,"Berry Creek",39.638394,-121.385467
1769,California,"Contra Costa","Bethel Island",38.015,-121.639444
1771,California,Lassen,Bieber,41.121389,-121.143056
1772,California,Trinity,"Big Bar",40.74796,-123.229006
1775,California,Shasta,"Big Bend",41.020833,-121.91
1776,California,Fresno,"Big Creek",37.205,-119.245
1777,California,Tuolumne,"Big Oak Flat",37.823611,-120.257222
1778,California,Inyo,"Big Pine",37.167857,-118.291597
1779,California,Monterey,"Big Sur",36.245798,-121.700897
1780,California,Butte,Biggs,39.414918,-121.695873
1781,California,Fresno,Biola,36.802222,-120.015278
1782,California,Solano,"Birds Landing",38.150402,-121.844318
1783,California,Inyo,Bishop,37.386301,-118.44156
1784,California,Plumas,Blairsden-graeagle,39.784745,-120.627397
1785,California,Humboldt,Blocksburg,40.276111,-123.635278
1788,California,Humboldt,"Blue Lake",40.928701,-123.896696
1790,California,Sonoma,Bodega,38.339264,-122.951364
1791,California,Sonoma,"Bodega Bay",38.330921,-123.037308
1793,California,Marin,Bolinas,37.907875,-122.694655
1796,California,Mendocino,Boonville,39.035007,-123.401954
1799,California,"Santa Cruz","Boulder Creek",37.149934,-122.133053
1801,California,Sonoma,"Boyes Hot Springs",38.313889,-122.480833
1802,California,Monterey,Bradley,35.809255,-120.972793
1804,California,Mendocino,Branscomb,39.700531,-123.554982
1807,California,"Contra Costa",Brentwood,37.932415,-121.689427
1808,California,Mono,Bridgeport,38.256601,-119.208025
1809,California,Humboldt,Bridgeville,40.468566,-123.549351
1810,California,"San Mateo",Brisbane,37.681104,-122.400118
1811,California,"Santa Cruz",Brookdale,37.106389,-122.105
1812,California,Yolo,Brooks,38.739277,-122.133391
1813,California,Yuba,"Browns Valley",39.284428,-121.346482
1814,California,Yuba,Brownsville,39.452534,-121.261179
1819,California,"San Mateo",Burlingame,37.575884,-122.362952
1820,California,Shasta,Burney,40.894927,-121.655036
1821,California,Trinity,"Burnt Ranch",40.772238,-123.461248
1822,California,Fresno,Burrel,36.488333,-119.984167
1823,California,Calaveras,Burson,38.183889,-120.889444
1824,California,Glenn,"Butte City",39.456348,-121.978046
1826,California,"Contra Costa",Byron,37.902616,-121.602211
1835,California,Napa,Calistoga,38.582305,-122.581384
1836,California,Siskiyou,Callahan,41.383257,-122.764046
1837,California,Mendocino,Calpella,39.150278,-123.206667
1838,California,Sierra,Calpine,39.651699,-120.4442
1841,California,"El Dorado",Camino,38.744938,-120.671979
1842,California,Sonoma,"Camp Meeker",38.425278,-122.958333
1845,California,"Santa Clara",Campbell,37.280007,-121.95539
1847,California,Calaveras,"Campo Seco",38.227222,-120.852222
1848,California,Yuba,Camptonville,39.450784,-121.023066
1849,California,Modoc,Canby,41.466358,-120.921769
1852,California,Fresno,"Cantua Creek",36.492123,-120.335252
1853,California,"Contra Costa",Canyon,37.831667,-122.186667
1855,California,Plumas,"Canyon Dam",40.207958,-121.156324
1856,California,Yolo,Capay,38.696964,-122.100993
1858,California,"Santa Cruz",Capitola,36.977359,-121.952145
1860,California,Humboldt,Carlotta,40.507027,-123.974287
1862,California,Monterey,Carmel,36.4478,-121.8395
1863,California,Monterey,"Carmel By The Sea",36.5546,-121.9203
1864,California,Monterey,"Carmel Valley",36.478709,-121.724356
1865,California,Sacramento,Carmichael,38.628393,-121.328683
1866,California,Placer,"Carnelian Bay",39.231937,-120.075328
1869,California,Fresno,Caruthers,36.535847,-119.844581
1871,California,Mendocino,Caspar,39.365102,-123.798489
1872,California,Shasta,Cassel,40.907832,-121.524497
1874,California,Shasta,Castella,41.138611,-122.316667
